Title,Facing,Floor,Bedroom,Bathroom,Location_area,Location_district,Price_in_cr,Land_area_aana,Price_per_aana,Road_access_ft,Built_year_bs,Has_parking,Amenity_count
House for sale,South-West,2.5,6,3,Nil Barahi Mandir,Bhaktapur,1.55,3.2,0.484375,20.0,2078,1,6
Duplex for sale,West,2.5,7,6,Dhapasi,Kathmandu,4.25,4.2,1.0119047619047619,13.0,2080,1,6
House for sale,East,2.5,9,4,Katyani Chowk,Kathmandu,6.5,7.0,0.9285714285714286,24.0,2074,1,5
Bungalow for sale,North,2.0,6,5,Gaurighat,Kathmandu,3.5,4.0,0.875,15.0,2076,1,6
House for sale,South,3.0,6,6,Budhanilkantha,Kathmandu,2.8,3.2,0.8749999999999999,16.0,2076,1,5
House for sale,South,1.5,2,1,Lubhu,Lalitpur,1.33,3.0,0.44333333333333336,13.0,2077,1,3
House for sale,South,2.0,4,2,Imadol,Lalitpur,1.6,2.2,0.7272727272727273,13.0,2075,1,6
House for sale,West,2.5,4,4,Harisiddhi,Lalitpur,2.5,3.1,0.8064516129032258,13.0,2068,1,5
House for sale,West,2.5,5,4,Harisiddhi,Lalitpur,2.8,3.0,0.9333333333333332,20.0,2076,1,4
House for sale,South-West,2.5,5,3,Imadol,Lalitpur,2.7,3.2,0.84375,14.0,2076,1,5
House for sale,South,2.5,5,5,Bhaisepati,Lalitpur,3.99,4.2,0.95,16.0,2076,1,5
House for sale,South,3.5,4,4,Bhaisepati,Lalitpur,4.99,5.0,0.998,16.0,2076,1,4
House for sale,East,2.5,5,3,Lubhu,Lalitpur,1.7,4.2,0.4047619047619047,10.0,2076,1,4
House for sale,South-West,2.5,4,4,Bhaisepati,Lalitpur,4.25,3.3,1.2878787878787878,20.0,2076,1,5
House for sale,West,2.0,4,2,Sanagaun,Lalitpur,1.7,3.0,0.5666666666666667,13.0,2077,1,7
Bungalow for sale,South-East,2.5,5,4,Balkot,Bhaktapur,5.25,5.0,1.05,20.0,2076,1,5
House for sale,South,2.5,7,3,Bageshwori,Bhaktapur,2.5,5.0,0.5,13.0,2074,1,5
Duplex for sale,West,2.5,7,5,Bhangal,Kathmandu,3.2,4.2,0.7619047619047619,13.0,2079,1,6
House for sale,South,3.0,6,3,Tikathali,Lalitpur,2.5,3.2,0.78125,18.0,2076,1,5
House for sale,West,2.5,4,3,Imadol,Lalitpur,2.35,3.2,0.734375,13.0,2076,1,5
House for sale,West,2.5,3,4,Samakhusi,Kathmandu,3.9,3.0,1.3,13.0,2076,1,6
